id,x,y,z,vx,vy,vz,radius,density,pressure,frame
1769,-0.3,3.565,2.639,0.032,-0.316,-1.941,0.1,1118.361,1088.137,50
1768,-0.293,3.667,2.622,-0.001,-0.321,-1.94,0.1,1116.477,1062.466,50
1767,-0.249,3.763,2.608,-0.007,-0.308,-1.932,0.1,1122.956,1151.843,50
1766,-0.172,3.834,2.594,0.018,-0.344,-1.938,0.1,1116.98,1069.292,50
1765,-0.079,3.879,2.587,-0.004,-0.319,-1.94,0.1,1117.284,1073.426,50
1764,0.027,3.889,2.587,0.006,-0.307,-1.932,0.1,1123.258,1156.092,50
1763,0.128,3.859,2.59,-0.013,-0.345,-1.939,0.1,1115.524,1049.569,50
1762,0.214,3.802,2.6,-0.004,-0.316,-1.939,0.1,1118.768,1093.715,50
1761,0.275,3.717,2.615,0.012,-0.318,-1.931,0.1,1122.498,1145.425,50
1760,0.3,3.616,2.63,-0.03,-0.319,-1.943,0.1,1115.582,1050.355,50
1759,0.293,3.514,2.647,-0.001,-0.314,-1.939,0.1,1119.425,1102.743,50
1758,0.249,3.419,2.664,0.006,-0.328,-1.93,0.1,1121.274,1128.349,50
1757,0.172,3.347,2.674,-0.015,-0.291,-1.946,0.1,1117.059,1070.363,50
1756,0.079,3.302,2.682,0.001,-0.317,-1.939,0.1,1118.737,1093.296,50
1755,0,3.395,2.646,0.003,-0.286,-1.909,0.1,1035.534,176.885,50
1754,-0.096,3.421,2.636,0.033,-0.256,-1.942,0.1,995.12,-133.661,50
1753,-0.169,3.491,2.631,0.025,-0.303,-1.906,0.1,1035.516,176.723,50
1752,-0.193,3.586,2.609,0.07,-0.315,-1.932,0.1,995.287,-132.526,50
1751,-0.169,3.683,2.599,0.021,-0.329,-1.902,0.1,1035.42,175.899,50
1750,-0.096,3.751,2.582,0.036,-0.376,-1.922,0.1,995.414,-131.666,50
1749,0,3.779,2.583,-0.003,-0.339,-1.9,0.1,1035.358,175.367,50
1748,0.096,3.751,2.582,-0.034,-0.377,-1.923,0.1,995.379,-131.902,50
1747,0.169,3.683,2.599,-0.025,-0.323,-1.903,0.1,1035.348,175.279,50
1746,0.193,3.586,2.609,-0.069,-0.318,-1.932,0.1,995.228,-132.93,50
1745,0.169,3.491,2.631,-0.021,-0.296,-1.907,0.1,1035.47,176.326,50
1744,0.096,3.421,2.636,-0.036,-0.258,-1.942,0.1,995.075,-133.968,50
1743,0.097,3.644,2.618,0.038,-0.28,-1.838,0.1,1086.974,692.815,50
1742,0.097,3.534,2.636,0.037,-0.323,-1.831,0.1,1086.977,692.841,50
1741,0,3.479,2.645,0,-0.344,-1.828,0.1,1086.973,692.796,50
1740,-0.097,3.534,2.636,-0.038,-0.322,-1.831,0.1,1086.968,692.735,50
1739,-0.097,3.644,2.618,-0.037,-0.279,-1.839,0.1,1086.966,692.716,50
1738,0,3.7,2.608,0,-0.258,-1.842,0.1,1086.968,692.741,50
1737,0,3.591,2.638,0,-0.309,-1.884,0.1,1005.354,-61.915,50
1736,-0.03,3.188,2.554,0.002,-0.305,-2.007,0.1,944.91,-427.437,50
1735,-0.122,3.211,2.548,0.014,-0.291,-2.019,0.1,944.018,-431.869,50
1734,-0.208,3.253,2.541,0.025,-0.295,-2.019,0.1,944.067,-431.627,50
1733,-0.284,3.312,2.533,0.019,-0.305,-2.01,0.1,945.474,-424.621,50
